waste_id,industry,waste_type,quantity_tonnes,composition,moisture,contamination,generation_frequency,hazard_level,location
W001,Foundry,Foundry Sand,2.5,82,4,10,Weekly,Low,Coimbatore
W002,Steel,Metal Scrap,5.0,95,1,3,Daily,Low,Chennai
W003,Plastic,Plastic Scrap,3.2,88,2,12,Weekly,Low,Coimbatore
W004,Textile,Textile Waste,1.8,75,8,15,Daily,Low,Tiruppur
W005,Chemical,Industrial Sludge,4.0,60,35,25,Weekly,High,Chennai
W006,Foundry,Foundry Sand,3.5,85,5,8,Weekly,Low,Salem
W007,Automobile,Metal Scrap,6.0,92,2,5,Daily,Low,Chennai
W008,Plastic,Plastic Scrap,2.0,80,3,20,Weekly,Low,Coimbatore
W009,Textile,Textile Waste,2.5,78,10,12,Daily,Low,Tiruppur
W010,Chemical,Industrial Sludge,3.0,55,40,30,Weekly,High,Chennai
